Epoch,Phase,Train_Total_Loss,Train_Main_OHEM_Loss,Train_Aux_Loss,Validation_Loss,Train_mIoU,Validation_mIoU,Train_mAcc,Validation_mAcc,Train_aAcc,Validation_aAcc,Train_Precision_Macro,Validation_Precision_Macro,Train_Recall_Macro,Validation_Recall_Macro,Train_F1_Macro,Validation_F1_Macro,Train_Precision_Micro,Validation_Precision_Micro,Train_Recall_Micro,Validation_Recall_Micro,Train_F1_Micro,Validation_F1_Micro,Learning_Rate,AMP_Scale,AMP_Overflow_Skips,Epoch_Time_sec,Cumulative_Training_Time
141,train/val,1.1236890444289083,0.8662056019124778,0.6437085873406866,0.3318345862483781,61.537375000359084,57.574716863819816,70.7471757236241,68.97893718885585,89.52908720239223,89.0702375435102,77.05808866102348,70.83417330697573,70.7471757236241,68.97893718885585,72.75809009743526,69.17722241544072,89.52908720239223,89.0702375435102,89.52908720239223,89.0702375435102,89.52908720239225,89.0702375435102,0.0007337546954168242,16384.0,0,17.126502513885498,0:40:40
142,train/val,1.0858403619216836,0.8486352041363716,0.5930128824775633,0.2703590902697145,61.663267928685784,61.842289511431204,70.51647400308464,70.4887257583827,89.88993535162257,91.09354149180352,77.6737993068141,78.08093496321302,70.51647400308464,70.4887257583827,72.62899369865497,72.59181693748516,89.88993535162257,91.09354149180352,89.88993535162257,91.09354149180352,89.88993535162257,91.09354149180353,0.0007318298348082378,16384.0,0,17.23050618171692,0:40:57
143,train/val,1.1696918172680812,0.8991368464801622,0.6763874094771302,0.32040238001883015,60.73705282309875,58.1015926248613,70.0652974057397,68.85591868130737,88.6766382604932,89.45731253478574,76.84212605750346,72.51543643636592,70.0652974057397,68.85591868130737,72.25621664023639,69.61933136896327,88.6766382604932,89.45731253478574,88.6766382604932,89.45731253478574,88.6766382604932,89.45731253478574,0.0007299044115041066,16384.0,0,17.340447425842285,0:41:15
144,train/val,1.1284279191623563,0.8773333200294038,0.6277364767763925,0.3014893643512655,61.51288163134184,59.62774251743737,70.81599752549877,69.87271702127781,89.67333711357907,90.01969242275815,76.96006966638215,74.58281752187656,70.81599752549877,69.87271702127781,72.68844970746197,70.95377263429765,89.67333711357907,90.01969242275815,89.67333711357907,90.01969242275815,89.67333711357907,90.01969242275815,0.0007279784236897001,16384.0,0,17.353346586227417,0:41:32
145,train/val,1.1486964974066485,0.8821532350519429,0.6663581361265286,0.29311395037462756,61.41255345455608,60.34475601264357,70.8732782192987,69.53237856041042,89.25325037748124,90.54848672468546,77.00286973107737,75.50222943577555,70.8732782192987,69.53237856041042,72.7621940720695,71.45681526755143,89.25325037748124,90.54848672468546,89.25325037748124,90.54848672468546,89.25325037748124,90.54848672468546,0.0007260518695390799,16384.0,0,17.214982509613037,0:41:49
146,train/val,1.1402390926428463,0.8807563778498898,0.6487067701376003,0.32356108005906614,60.85458818289376,58.34650465158289,70.48826924201838,69.39890000759888,89.00613081633495,89.42379812349249,76.01861388145387,72.5565284874757,70.48826924201838,69.39890000759888,72.21836858855089,69.87246878883168,89.00613081633495,89.42379812349249,89.00613081633495,89.42379812349249,89.00613081633495,89.42379812349249,0.000724124747215,16384.0,0,17.393773317337036,0:42:07
147,train/val,1.1274621839756551,0.8720236145283865,0.6385964053156583,0.27447984926003094,61.90335280289023,62.013750429208535,70.75294019775417,71.24072567491022,89.44164844592405,90.95341471622515,78.14523852897601,77.23964048484007,70.75294019775417,71.24072567491022,73.05498001309819,72.91315626898049,89.44164844592405,90.95341471622515,89.44164844592405,90.95341471622515,89.44164844592405,90.95341471622515,0.0007221970548688019,16384.0,0,17.434864044189453,0:42:24
148,train/val,1.093859941739103,0.8468382216018179,0.6175542834984219,0.28976495205453706,61.68912886522059,60.645881879341665,70.90403009161928,69.4940329097519,89.56733085216972,90.45862860043228,77.50720258512708,77.38292410567887,70.90403009161928,69.4940329097519,72.99513797896215,71.68714222308881,89.56733085216972,90.45862860043228,89.56733085216972,90.45862860043228,89.56733085216972,90.45862860043228,0.0007202687906403107,16384.0,0,17.18472957611084,0:42:41
149,train/val,1.0957558971384298,0.8566397690902585,0.5977903126698473,0.2701883167395454,61.76730446692099,62.231147505789764,70.7131477813203,71.00063211026627,90.12407462004677,91.03536502898258,77.37585564388404,78.27421380124245,70.7131477813203,71.00063211026627,72.85528334799773,73.05997714855383,90.12407462004677,91.03536502898258,90.12407462004677,91.03536502898258,90.12407462004678,91.03536502898258,0.0007183399526577263,16384.0,0,17.289530754089355,0:42:59
150,train/val,1.1128506793276123,0.8608896217268446,0.6299026310443878,0.2708863083242802,62.15969874693194,62.69812019552504,71.25208801166703,71.78901766172042,89.58696632446006,91.08704976130879,78.21025324463456,77.57857638713998,71.25208801166703,71.78901766172042,73.46019529206423,73.63799693549589,89.58696632446006,91.08704976130879,89.58696632446006,91.08704976130879,89.58696632446006,91.08704976130879,0.0007164105390375198,16384.0,0,17.39144539833069,0:43:16
