epoch,phase,train_total_loss,train_main_loss,train_aux_loss,train_miou,train_macc,train_aacc,val_total_loss,val_miou,val_macc,val_aacc,learning_rate,epoch_time_sec,total_training_time_str,train_Precision_Macro,train_Recall_Macro,train_F1_Macro,train_Precision_Micro,train_Recall_Micro,train_F1_Micro,val_Precision_Macro,val_Recall_Macro,val_F1_Macro,val_Precision_Micro,val_Recall_Micro,val_F1_Micro,amp_overflow_skips,amp_scale
400,train/val,0.9290819449917129,0.7642120595859444,0.4121747026624887,71.69443537233197,80.10999489072505,92.32954131216904,0.19733219213083047,70.94522732920674,78.85535821153906,93.36680078906109,0.00020727161662130274,17.291589736938477,1:55:25,84.64874579807588,80.10999489072505,81.81366331690431,92.32954131216904,92.32954131216904,92.32954131216904,84.59864816360295,78.85535821153906,81.07446962808281,93.36680078906109,93.36680078906109,93.36680078906109,0,16384.0
401,train/val,0.8881460454152977,0.7374618443781915,0.37671049044508,72.42325279793401,80.43534160528336,93.02311237087181,0.2014729336296736,70.79263688668874,79.38195067533908,93.26615672428288,0.00020505548253340106,17.296770095825195,1:55:42,85.25490831452132,80.43534160528336,82.24758292899392,93.02311237087181,93.02311237087181,93.02311237087181,83.58581989257394,79.38195067533908,81.04156594430016,93.26615672428288,93.26615672428288,93.26615672428288,0,16384.0
402,train/val,0.9751085885193037,0.8005742106748663,0.4363359317345464,71.66263377017462,79.63294135774632,92.37930180307211,0.20201886117950354,70.57330991949816,79.47169155142728,93.22048329287617,0.00020283668398098285,17.213787078857422,1:56:00,84.98891552931931,79.63294135774632,81.72557975052236,92.37930180307211,92.37930180307211,92.3793018030721,83.19585915187005,79.47169155142728,80.8518566244699,93.22048329287617,93.22048329287617,93.22048329287617,0,16384.0
403,train/val,0.923412436052509,0.7561683622391328,0.41811017586809135,71.96656869204587,80.209542920146,92.32850047907218,0.19941898407364836,70.56235256418574,78.2454579024994,93.25034851532804,0.00020061518529595503,17.288596153259277,1:56:17,84.78833255515603,80.209542920146,81.9210215468908,92.32850047907218,92.32850047907218,92.32850047907218,84.69803112131191,78.2454579024994,80.78573161131219,93.25034851532804,93.25034851532804,93.25034851532804,0,16384.0
404,train/val,0.9220705333611239,0.7593802903657374,0.4067255946119194,71.78595615103929,79.75218633433897,92.66547561490489,0.20203131421250808,70.6914434356682,79.55179131475856,93.29004475038384,0.00019839094988743038,17.386877059936523,1:56:34,85.18806472127714,79.75218633433897,81.9183043343526,92.66547561490489,92.66547561490489,92.66547561490489,83.14227170061731,79.55179131475856,80.93521054616029,93.29004475038384,93.29004475038384,93.29004475038384,0,16384.0
405,train/val,0.9229501848635466,0.7561326289306516,0.41704388837451517,72.61585992033388,80.75228146897626,92.604386454133,0.19736081407725753,71.42641782292532,79.58137746947357,93.34894482318226,0.00019616394020604527,17.73417901992798,1:56:52,85.3377040073934,80.75228146897626,82.52307669926793,92.604386454133,92.604386454133,92.604386454133,84.31962436862077,79.58137746947357,81.57020513653825,93.34894482318226,93.34894482318226,93.34894482318226,0,16384.0
406,train/val,0.9200718571310458,0.7570773606067118,0.40748622300832166,72.27294163451036,80.49784628885513,92.69933012590042,0.21603344785177916,69.33594212517185,78.6017124941998,92.78522151176804,0.0001939341177064278,17.744736194610596,1:57:10,84.99025590647814,80.49784628885513,82.23601927481424,92.69933012590042,92.69933012590042,92.69933012590042,82.11064045864859,78.6017124941998,79.915063402191,92.78522151176804,92.78522151176804,92.78522151176804,0,16384.0
407,train/val,0.9141865359700244,0.7575479350660158,0.39159649027430493,71.63024793858884,79.72555167932984,92.62868676449744,0.19788618256136653,70.8755040682192,79.2621823049802,93.34703051891806,0.00019170144280769742,17.50993824005127,1:57:27,84.85915697143514,79.72555167932984,81.65697205747428,92.62868676449744,92.62868676449744,92.62868676449744,83.9079060398381,79.2621823049802,81.04173031552489,93.34703051891806,93.34703051891806,93.34703051891806,0,16384.0
408,train/val,0.930329666837402,0.7645983263526274,0.41432834497612453,71.67507943252302,79.92358113742036,92.35720172780562,0.19912426094102365,71.1191288648776,79.97081396638717,93.30362726553498,0.00018946587485186702,17.103976488113403,1:57:44,84.79387529797009,79.92358113742036,81.86372542882965,92.35720172780562,92.35720172780562,92.35720172780562,83.5284351054509,79.97081396638717,81.27512890825594,93.30362726553498,93.30362726553498,93.30362726553498,0,16384.0
409,train/val,0.9012824731028598,0.7481388686143834,0.38285900490439456,72.62407171296505,80.6911898570989,93.09707530294185,0.20035400692815777,71.41159274106671,79.7861394436574,93.30730314490832,0.0001872273720600036,17.63352108001709,1:58:02,85.21526914931633,80.6911898570989,82.38668483586935,93.09707530294185,93.09707530294185,93.09707530294185,83.95138339929645,79.7861394436574,81.58424850719139,93.30730314490832,93.30730314490832,93.30730314490832,0,16384.0
410,train/val,0.9223217905863471,0.7564979308973188,0.4145596443634966,71.87370220256356,79.8502533964079,92.65544447378106,0.20618386957330515,70.0484388149494,78.7378836415322,93.05382761134048,0.0001849858914860006,17.41736602783203,1:58:19,84.92107565378845,79.8502533964079,81.79922200239565,92.65544447378106,92.65544447378106,92.65544447378106,83.4510256758715,78.7378836415322,80.42196666151071,93.05382761134048,93.05382761134048,93.05382761134048,0,16384.0
