Epoch,Phase,Train_Total_Loss,Train_Main_OHEM_Loss,Train_Aux_Loss,Validation_Loss,Train_mIoU,Validation_mIoU,Train_mAcc,Validation_mAcc,Train_aAcc,Validation_aAcc,Train_Precision_Macro,Validation_Precision_Macro,Train_Recall_Macro,Validation_Recall_Macro,Train_F1_Macro,Validation_F1_Macro,Train_Precision_Micro,Validation_Precision_Micro,Train_Recall_Micro,Validation_Recall_Micro,Train_F1_Micro,Validation_F1_Micro,Learning_Rate,Epoch_Time_sec,Cumulative_Training_Time
23,train/val,1.3628514945507049,1.0604805007576943,0.7559274688363076,0.42003063743302876,39.77814046050679,36.05011397737526,46.612835824134,41.67037957146416,85.0206444047456,87.14020103106338,60.441913701386255,61.38836135632593,46.612835824134,41.67037957146416,56.61972554764102,56.61207442189291,85.0206444047456,87.14020103106338,85.0206444047456,87.14020103106338,85.0206444047456,87.14020103106338,0.0009786566439493158,7.5105860233306885,0:02:53
24,train/val,1.3082422330975532,1.0012775123119355,0.7674117811024189,0.4271004541144562,42.16222503036748,35.99746494696202,49.00991848188424,42.5271269825938,86.34390377458053,87.0021504250088,61.41727712244274,59.43376490972822,49.00991848188424,42.5271269825938,58.95265053844629,56.50935700282053,86.34390377458053,87.0021504250088,86.34390377458053,87.0021504250088,86.34390377458053,87.0021504250088,0.0009777246111206967,7.57496452331543,0:03:00
25,train/val,1.2649108454585076,0.956864270567894,0.7701164223253727,0.38051760683360486,44.63508471146142,37.238157763612826,51.71024802935771,43.341981844069124,86.51123929705575,87.67336352279582,68.5130592772183,59.584921937474775,51.71024802935771,43.341981844069124,58.84370226808219,58.08603722763686,86.51123929705575,87.67336352279582,86.51123929705575,87.67336352279582,86.51123929705574,87.67336352279582,0.0009767924795620077,7.515016555786133,0:03:08
26,train/val,1.3273220092058182,1.0157503306865692,0.7789291784167289,0.366417537709829,40.110287369107986,37.337184463960284,46.29624051515074,42.85486480688305,85.62067946475645,88.11921527517418,64.94642303651484,62.2933675596854,46.29624051515074,42.85486480688305,53.5654025017532,58.31955233904365,85.62067946475645,88.11921527517418,85.62067946475645,88.11921527517418,85.62067946475645,88.11921527517418,0.0009758602491580844,7.535327196121216,0:03:15
27,train/val,1.3201187536120416,1.0148868396878243,0.7630797639489174,0.34903726836205096,43.35763949212465,38.26210359984228,50.79486473968986,43.868781738421106,86.70646033086523,88.71325340186229,65.12604408158545,62.56932118098915,50.79486473968986,43.868781738421106,57.343158095007276,59.36097777202806,86.70646033086523,88.71325340186229,86.70646033086523,88.71325340186229,86.70646033086523,88.71325340186229,0.0009749279197935052,7.476345539093018,0:03:23
28,train/val,1.3256097421050073,1.0261036992073058,0.7487651042640209,0.3739217019842528,43.42972535964802,36.63190849316247,50.821291527310706,42.465187949436825,86.42361836430972,87.74468005312984,67.16948906876101,56.723941714589245,50.821291527310706,42.465187949436825,57.997439610391254,57.20583162693309,86.42361836430972,87.74468005312984,86.42361836430972,87.74468005312984,86.42361836430972,87.74468005312984,0.0009739954913525902,7.5760462284088135,0:03:30
29,train/val,1.2814179807901382,0.993440480530262,0.7199437342584133,0.3629736294161187,42.596754559136464,37.75550621022957,50.09449540525202,43.50038098404238,86.64558162405288,88.20277017703032,64.70998011267558,60.42902453207737,50.09449540525202,43.50038098404238,56.53602181046522,58.82939384257341,86.64558162405288,88.20277017703032,86.64558162405288,88.20277017703032,86.64558162405288,88.20277017703032,0.0009730629637194016,7.444680452346802,0:03:38
30,train/val,1.2818285197019577,0.9914040923118591,0.7260610528290272,0.3734390641232416,43.90935657655361,38.55778605324029,51.59235109592418,44.30193290464713,87.09150721727312,87.85483649236066,66.01917310790192,58.35147041569196,51.59235109592418,44.30193290464713,58.38003129315863,60.406833154177164,87.09150721727312,87.85483649236066,87.09150721727312,87.85483649236066,87.09150721727312,87.85483649236066,0.0009721303367777427,7.521113157272339,0:03:45
31,train/val,1.205130286514759,0.9434987813234329,0.6540787443518639,0.35421864634346195,45.46195093686191,38.50628038341397,52.57212055477156,44.35661696804086,88.11139686437149,88.24830623933927,66.34469014939968,58.82956012294932,52.57212055477156,44.35661696804086,66.97234972258369,60.02373391800357,88.11139686437149,88.24830623933927,88.11139686437149,88.24830623933927,88.11139686437149,88.24830623933927,0.0009711976104111563,7.51951003074646,0:03:53
32,train/val,1.2276486784219742,0.9522679448127747,0.6884518079459667,0.34303252260894895,47.95508342536522,39.229956136188335,56.14053698967032,45.14042600586901,87.83647021376693,88.7689307801923,67.97069339822451,59.31203799922491,56.14053698967032,45.14042600586901,66.76575991272126,60.943047317787645,87.83647021376693,88.7689307801923,87.83647021376693,88.7689307801923,87.83647021376693,88.7689307801923,0.0009702647845029241,7.6512932777404785,0:04:01
33,train/val,1.237104344367981,0.9630141645669937,0.6852254115045071,0.3428178717456667,44.25025832808201,39.11331097854937,51.24254903561546,44.87198201223069,87.60252355455451,88.86966711296594,66.09752813088988,58.44344531964727,51.24254903561546,44.87198201223069,58.42345644086628,60.687732650469314,87.60252355455451,88.86966711296594,87.60252355455451,88.86966711296594,87.60252355455451,88.86966711296594,0.0009693318589360663,7.560275554656982,0:04:08
34,train/val,1.2530199319124222,0.9821969717741013,0.6770573861896991,0.3382479308116204,48.67074868272987,39.32782666489757,55.582212790170004,45.086948897173315,88.09647409385704,89.08367772939263,69.47365161197371,58.09640107626108,55.582212790170004,45.086948897173315,63.5302679844441,60.94072450721543,88.09647409385704,89.08367772939263,88.09647409385704,89.08367772939263,88.09647409385704,89.08367772939263,0.0009683988335933395,7.254438400268555,0:04:15
35,train/val,1.1790802851319313,0.9233658790588379,0.6392859995365143,0.34053596251851703,46.87687733862537,39.71021304402019,55.16940368110384,45.51654811825368,87.71684300330055,88.72268460385123,67.37481526236179,58.23654164846408,55.16940368110384,45.51654811825368,60.67564696623875,61.693047674513934,87.71684300330055,88.72268460385123,87.71684300330055,88.72268460385123,87.71684300330055,88.72268460385123,0.0009674657083572379,7.367724895477295,0:04:23
36,train/val,1.3138371601700782,1.0303290441632271,0.7087702713906765,0.3522885465222332,45.955953568329925,38.522773246090516,52.899929707380124,44.41316149106683,87.32719308652635,88.4542004742896,67.75353578436476,61.48195804680007,52.899929707380124,44.41316149106683,60.792393778770496,59.79521795443159,87.32719308652635,88.4542004742896,87.32719308652635,88.4542004742896,87.32719308652634,88.4542004742896,0.0009665324831099906,7.461621522903442,0:04:30
37,train/val,1.1938336059451102,0.9370159268379211,0.6420442037284374,0.3354053322920362,47.85608625587513,40.336258293634216,54.738126873301226,46.53443881161217,88.42368149771073,89.02797261223324,72.41141624278048,58.75186610513471,54.738126873301226,46.53443881161217,62.57732693911184,62.48387390804655,88.42368149771073,89.02797261223324,88.42368149771073,89.02797261223324,88.42368149771073,89.02797261223324,0.0009655991577335607,7.6575329303741455,0:04:38
38,train/val,1.2010320574045181,0.9470059007406235,0.6350653760135174,0.3436962490833704,46.59947518615931,39.68701534065291,54.57604303348217,45.43308625726663,88.63831035496027,88.46916834662264,70.0285132480402,59.51665146384389,54.57604303348217,45.43308625726663,61.316570859063916,62.01220281834093,88.63831035496027,88.46916834662264,88.63831035496027,88.46916834662264,88.63831035496027,88.46916834662264,0.0009646657321096462,7.698283433914185,0:04:46
39,train/val,1.2055393531918526,0.9437289714813233,0.6545259550213813,0.33607088259448925,49.66532008280421,40.80083013666261,57.092856164042125,47.26819996515119,88.58586587138741,89.02378404899697,71.45458764435486,58.77676685063663,57.092856164042125,47.26819996515119,65.35906501630443,63.05979583069129,88.58586587138741,89.02378404899697,88.58586587138741,89.02378404899697,88.5858658713874,89.02378404899697,0.0009637322061196774,7.543448448181152,0:04:53
