frame_index,preprocess_ms,inference_ms,postprocess_ms,save_ms,total_ms,fps_equivalent
207,15.367,1413.642,2780.295,228.018,4437.357,0.22536
208,13.25,1397.152,2807.062,225.644,4443.143,0.22507
209,13.158,1326.087,2781.034,226.04,4346.353,0.23008
210,13.182,1300.13,2809.465,238.176,4360.988,0.22931
211,13.193,1425.927,2770.41,222.113,4431.679,0.22565
212,13.162,1420.334,3157.704,224.194,4817.084,0.20759
213,15.533,1394.12,2754.879,226.475,4391.043,0.22774
214,13.224,1338.598,3678.589,225.949,5258.052,0.19018
215,15.446,1432.182,2765.572,226.395,4439.631,0.22524
216,13.317,1418.4,2790.784,224.004,4446.543,0.22489
217,13.303,1416.498,2794.467,226.966,4451.27,0.22465
218,13.24,1354.957,2768.951,225.63,4362.813,0.22921
219,13.245,1343.321,2811.494,229.36,4397.456,0.2274
220,16.659,1756.64,2804.393,225.325,4803.051,0.2082
221,13.355,1412.641,2809.318,227.418,4464.526,0.22399
222,15.443,1401.762,2790.345,227.893,4435.48,0.22545
223,13.217,1418.559,3498.541,226.779,5157.132,0.19391
224,13.194,1294.884,3407.274,226.086,4941.472,0.20237
225,13.195,1357.398,2777.008,223.811,4371.449,0.22876
226,13.235,1379.814,2811.56,229.676,4434.318,0.22551
227,16.673,1434.991,2809.515,227.407,4488.624,0.22279
228,13.196,1346.497,3203.171,226.005,4790.401,0.20875
229,15.51,1583.071,2784.063,226.574,4609.254,0.21695
230,13.224,1638.236,2810.725,224.458,4688.328,0.2133
231,15.483,1627.575,2792.955,227.142,4663.22,0.21444
232,13.182,1658.417,3387.773,226.457,5287.508,0.18912
233,15.406,1404.403,2785.36,226.841,4432.046,0.22563
234,13.245,1464.808,2805.192,230.463,4513.744,0.22155
235,13.3,1408.541,2777.972,231.623,4431.472,0.22566
236,13.255,1331.818,3419.83,230.939,4995.878,0.20017
237,13.259,1425.065,2769.534,230.931,4438.824,0.22528
238,13.316,1393.914,2795.566,231.31,4434.141,0.22552
239,13.416,1322.669,2763.595,233.507,4333.222,0.23078
240,13.235,1417.071,3461.459,241.972,5133.774,0.19479
241,13.453,1391.564,2766.662,222.777,4394.49,0.22756
242,13.28,1362.099,2804.04,226.975,4406.43,0.22694
243,13.402,1375.207,3234.747,224.92,4848.311,0.20626
244,13.236,1462.708,2996.673,231.631,4705.996,0.21249
245,15.796,1412.878,2778.016,225.49,4432.216,0.22562
246,13.266,1425.799,3297.931,225.004,4963.681,0.20146
247,15.481,1439.988,2782.526,226.176,4464.206,0.224
