epoch,phase,train_total_loss,train_seg_loss,train_detail_loss,train_epnet_loss,train_miou,train_macc,train_aacc,val_total_loss,val_miou,val_macc,val_aacc,learning_rate,epoch_time_sec,total_training_time_str,train_Precision_Macro,train_Recall_Macro,train_F1_Macro,train_Precision_Micro,train_Recall_Micro,train_F1_Micro,val_Precision_Macro,val_Recall_Macro,val_F1_Macro,val_Precision_Micro,val_Recall_Micro,val_F1_Micro
55,train/val,4.566690993309021,2.2971702009439467,0.7771876633167267,1.4923331052064897,26.08666771195117,40.29638459735672,46.7348291295422,1.4160302966833114,26.186187205431782,39.049970847424696,54.48370680183778,0.00031141434114573274,40.79137587547302,0:13:02,38.20525234340982,40.29638459735672,37.573522349550785,63.69970838795634,63.69970838795634,63.69970838795634,37.29874722266749,39.049970847424696,35.30985694357413,70.53650890410876,70.53650890410876,70.53650890410876
56,train/val,4.403195065259934,2.1914257526397707,0.7737347781658173,1.4380345523357392,32.91865753598452,46.67100486098803,52.65264117283812,1.4068397015333176,25.696185266303644,34.28813500390609,53.68950017395853,0.0003070991145662402,40.72046875953674,0:13:43,48.09387953130579,46.67100486098803,45.47573410907372,68.98359670465595,68.98359670465595,68.98359670465595,41.605160439471724,34.28813500390609,34.85746899441068,69.86749272160856,69.86749272160856,69.86749272160856
57,train/val,4.497205245494842,2.2580103099346163,0.7741644233465195,1.4650304675102235,27.935425431311874,41.09670337422875,47.667158493463226,1.3947166889905929,24.506454189968576,37.04284787450629,54.73448566781273,0.00030277713988630973,41.01594066619873,0:14:24,41.559265350323486,41.09670337422875,39.1686645946559,64.56027051617345,64.56027051617345,64.56027051617345,36.18670931913685,37.04284787450629,32.604403839127265,70.74633095729918,70.74633095729918,70.74633095729918
58,train/val,4.427068281173706,2.19840889275074,0.7702553898096085,1.4584039717912674,26.79578179416653,41.18077811670038,44.88813263125042,1.3733950078487396,24.861983091871487,33.40483731239386,59.8478998300539,0.0002984482991785695,40.78462028503418,0:15:04,45.485580287753905,41.18077811670038,38.4867582500071,61.96246968755349,61.96246968755349,61.96246968755349,38.304042491235684,33.40483731239386,32.5951959894854,74.88105867350477,74.88105867350477,74.88105867350475
59,train/val,4.431426322460174,2.2282741218805313,0.7737658083438873,1.4293863952159882,29.614682103645713,43.37851225690096,51.66655933307882,1.422490519285202,23.447184159964163,34.375456147339975,53.01742160692846,0.0002941124705176065,40.64784240722656,0:15:45,41.87135469245361,43.37851225690096,41.168965017769146,68.13177480951825,68.13177480951825,68.13177480951825,37.02781014918031,34.375456147339975,32.966508492452895,69.2959285944835,69.2959285944835,69.2959285944835
60,train/val,4.353667938709259,2.190248689055443,0.7748709097504616,1.3885483503341676,31.043777346058928,42.341765508823705,54.113377112632286,1.3231236577033996,25.909689389344187,36.53087261461205,52.05491608636419,0.0002897695277765865,40.662142276763916,0:16:26,49.11059390235877,42.341765508823705,43.42436455399659,70.22541213029683,70.22541213029683,70.22541213029683,40.872778916441234,36.53087261461205,35.58043901417369,68.46857362612074,68.46857362612074,68.46857362612074
61,train/val,4.396022492647171,2.2293587774038315,0.7732607021927833,1.3934029906988143,28.28897911261571,39.94905173534513,52.19484046928241,1.3309649139642716,25.391619321809788,33.6601670606016,57.569244839128395,0.00028541934040996104,40.72219204902649,0:17:06,42.716378478676965,39.94905173534513,39.23946280916479,68.58950054856416,68.58950054856416,68.58950054856416,40.18367544903354,33.6601670606016,33.66527106681556,73.07167702416064,73.07167702416064,73.07167702416064
62,train/val,4.333265817165374,2.159297701716423,0.7697476774454117,1.404220449924469,31.507156157737565,44.53398518053402,54.95511850189059,1.3604214906692504,27.699919774015846,37.33770640315394,58.34478149433123,0.0002810617732210583,40.71928811073303,0:17:47,46.911664964377294,44.53398518053402,43.654503254772145,70.9303687844556,70.9303687844556,70.9303687844556,39.285326888913744,37.33770640315394,36.93319822393962,73.69334302491046,73.69334302491046,73.69334302491048
63,train/val,4.286835700273514,2.181378278136253,0.7709941551089287,1.334463331103325,31.278291129259213,43.285640628238,58.64479135562166,1.2866433292627335,26.536516498163508,35.365129604276255,62.96412086374643,0.0002766966861132276,40.66088318824768,0:18:28,44.8400257718002,43.285640628238,42.91309588280299,73.93219891368788,73.93219891368788,73.93219891368788,37.07422386896231,35.365129604276255,34.6281639428651,77.27359928065448,77.27359928065448,77.2735992806545
64,train/val,4.320576906204224,2.1456637620925902,0.7696699500083923,1.4052432268857955,28.923644566005024,42.76037612180734,54.990852785950615,1.3654215037822723,28.08588095783458,38.1965733311499,61.62796927474351,0.00027232393382306297,40.696070194244385,0:19:08,41.37786395592229,42.76037612180734,40.477764219085785,70.96012673973149,70.96012673973149,70.9601267397315,38.489007956011264,38.1965733311499,37.29317728818455,76.25904050057713,76.25904050057713,76.25904050057714
