Epoch,Train_Total_Loss,Train_Main_Loss,Train_Aux_Loss,Validation_Loss,Train_mIoU,Validation_mIoU,Train_mAcc,Validation_mAcc,Train_aAcc,Validation_aAcc,Train_Precision_Macro,Validation_Precision_Macro,Train_Recall_Macro,Validation_Recall_Macro,Train_F1_Macro,Validation_F1_Macro,Train_Precision_Micro,Validation_Precision_Micro,Train_Recall_Micro,Validation_Recall_Micro,Train_F1_Micro,Validation_F1_Micro,Learning_Rate,Epoch_Time_sec,Cumulative_Training_Time
144,0.7249667768159326,0.6240587850385011,0.25226997702852866,0.1776559361219406,80.60929556197786,76.7085928201183,87.2773743096067,85.37587822329075,96.42888494001312,95.79781678753044,90.63861213242505,87.17293238870782,87.2773743096067,85.37587822329075,88.87929894697692,86.1444334714502,96.42888494001312,95.79781678753044,96.42888494001312,95.79781678753044,96.42888494001312,95.79781678753044,0.007278541469833954,270.6935214996338,10:48:14
145,0.7343491237277382,0.6305019704784093,0.2596178801170354,0.19442988185584545,77.94225756459436,73.09292108023261,84.75784240321286,80.9092104426759,96.2735180584565,95.39721843056537,89.79545011177316,87.15172957399939,84.75784240321286,80.9092104426759,87.09576086311893,83.33570505119386,96.2735180584565,95.39721843056537,96.2735180584565,95.39721843056537,96.2735180584565,95.39721843056537,0.00725935325882973,274.7686824798584,10:52:49
146,0.729368770090461,0.6259757485178067,0.258482551679426,0.1875535679012537,79.4185010355763,75.90684215073094,86.09164248245649,83.46365647888597,96.3541068563685,95.6004520646039,90.22517194784362,88.46400560605971,86.09164248245649,83.46365647888597,88.03507499858588,85.41195149980899,96.3541068563685,95.6004520646039,96.3541068563685,95.6004520646039,96.3541068563685,95.6004520646039,0.007240081691343884,268.41154050827026,10:57:17
147,0.7238923677399244,0.6240358490549484,0.24964129436252577,0.18127230955660342,80.50399705703664,76.26670563005611,87.12537240490164,83.60059663314884,96.4545778625382,95.88936085235245,90.50890157067778,88.73924648952155,87.12537240490164,83.60059663314884,88.73610044953458,85.69377264608141,96.4545778625382,95.88936085235245,96.4545778625382,95.88936085235245,96.4545778625382,95.88936085235245,0.007220804422515039,268.5364806652069,11:01:46
148,0.7299552820597869,0.6298036703585617,0.25037902612652485,0.19337811143696307,80.08339269935092,75.45290983388911,86.96985497071542,83.63859066111662,96.44593027247018,95.71137872662892,90.20359410256667,87.68408090361052,86.96985497071542,83.63859066111662,88.50082053264892,85.13361750885173,96.44593027247018,95.71137872662892,96.44593027247018,95.71137872662892,96.44593027247018,95.71137872662892,0.0072015214337344475,269.34049367904663,11:06:15
149,0.726150165449154,0.621139052075352,0.26252778346456773,0.19557245387136937,79.77198792970654,73.57913756641864,86.30695786098998,80.42810983593135,96.28894372784866,95.4890738304405,90.48026820380613,88.52412528840176,86.30695786098998,80.42810983593135,88.27199325065803,83.75232326751116,96.28894372784866,95.4890738304405,96.28894372784866,95.4890738304405,96.28894372784866,95.4890738304405,0.00718223270627704,271.8187918663025,11:10:47
150,0.7217160251690544,0.6204885691604761,0.2530686382251894,0.17856559978425504,79.89666977058653,76.56726005640759,86.52078022588124,84.26694068201861,96.43091036082836,95.89810625944752,90.43210324369039,88.07555219115626,86.52078022588124,84.26694068201861,88.36295650180915,85.87025546787692,96.43091036082836,95.89810625944752,96.43091036082836,95.89810625944752,96.43091036082836,95.89810625944752,0.0071629382213004005,268.41596269607544,11:15:16
151,0.7219991640869852,0.6179584869519928,0.2601016884533126,0.18597903943061828,81.00743325321066,75.6770763791598,87.5669263409786,85.24383556760355,96.47226043185158,95.66473168459747,90.80614659425504,86.38010522398743,87.5669263409786,85.24383556760355,89.11831290307474,85.34036611839655,96.47226043185158,95.66473168459747,96.47226043185158,95.66473168459747,96.47226043185158,95.66473168459747,0.007143637959843616,269.84385442733765,11:19:45
152,0.7154765264572677,0.6146877320143868,0.2519719846466482,0.18505089451372622,80.94349991794512,75.16836175840919,87.59488105251447,83.14658756421794,96.5023135006743,95.74513049976248,90.70858972517848,87.45742266109981,87.59488105251447,83.14658756421794,89.08559576032363,85.0373877154453,96.5023135006743,95.74513049976248,96.5023135006743,95.74513049976248,96.5023135006743,95.74513049976248,0.007124331902826228,268.8731281757355,11:24:14
153,0.7191091155597005,0.6168975804725106,0.25552883309831376,0.18381106595695018,80.99104983609864,75.96312094778935,87.78059028178696,83.01317319699578,96.48307008837051,95.75350339528433,90.47435853366515,88.99138721268181,87.78059028178696,83.01317319699578,89.07589026784851,85.51959947035857,96.48307008837051,95.75350339528433,96.48307008837051,95.75350339528433,96.48307008837051,95.75350339528433,0.007105020031047122,268.4300916194916,11:28:43
